_id,quarter,industry1,industry2,industry3,employment_change
436,1995-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1
437,1995-Q3,manufacturing,fabricated metal products,fabricated metal products,-0.1
438,1995-Q3,manufacturing,machinery and equipment,machinery and equipment,0.4
439,1995-Q3,manufacturing,electrical products,electrical products,-0.1
440,1995-Q3,manufacturing,electronic products,electronic products,0.3
441,1995-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1
442,1995-Q3,manufacturing,transport equipment,transport equipment,1
443,1995-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.3
444,1995-Q3,construction,construction,construction,12.4
445,1995-Q3,services,wholesale and retail trade,wholesale trade,1.1
446,1995-Q3,services,wholesale and retail trade,retail trade,-1.4
447,1995-Q3,services,"transport, storage and communications","transport, storage and communications",3
448,1995-Q3,services,financial services,financial institutions,0.3
449,1995-Q3,services,financial services,insurance,-
450,1995-Q3,services,business and real estate services,business and real estate services,1.7
451,1995-Q3,services,"community, social and personal services",public administration and education,1
452,1995-Q3,services,"community, social and personal services",public administration,n.a.
453,1995-Q3,services,"community, social and personal services",education,n.a.
454,1995-Q3,services,"community, social and personal services",health and social work,0.5
455,1995-Q3,services,"community, social and personal services","other community, social and personal services",3.3
456,1995-Q3,others,others,others,-0.3
457,1995-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6
458,1995-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.8
459,1995-Q4,manufacturing,paper products and publishing,paper products and publishing,0.1
460,1995-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.3
461,1995-Q4,manufacturing,fabricated metal products,fabricated metal products,0.1
462,1995-Q4,manufacturing,machinery and equipment,machinery and equipment,-
463,1995-Q4,manufacturing,electrical products,electrical products,0.2
464,1995-Q4,manufacturing,electronic products,electronic products,2.4
465,1995-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.1
466,1995-Q4,manufacturing,transport equipment,transport equipment,-1.5
467,1995-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.7
468,1995-Q4,construction,construction,construction,18.4
469,1995-Q4,services,wholesale and retail trade,wholesale trade,3.8
470,1995-Q4,services,wholesale and retail trade,retail trade,3.5
471,1995-Q4,services,"transport, storage and communications","transport, storage and communications",2.3
472,1995-Q4,services,financial services,financial institutions,0.9
473,1995-Q4,services,financial services,insurance,0.2
474,1995-Q4,services,business and real estate services,business and real estate services,3.8
475,1995-Q4,services,"community, social and personal services",public administration and education,1.4
476,1995-Q4,services,"community, social and personal services",public administration,n.a.
477,1995-Q4,services,"community, social and personal services",education,n.a.
478,1995-Q4,services,"community, social and personal services",health and social work,1
479,1995-Q4,services,"community, social and personal services","other community, social and personal services",4.5
480,1995-Q4,others,others,others,-0.6
481,1996-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1
482,1996-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-1
483,1996-Q1,manufacturing,paper products and publishing,paper products and publishing,-0.1
484,1996-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.6
485,1996-Q1,manufacturing,fabricated metal products,fabricated metal products,0.3
486,1996-Q1,manufacturing,machinery and equipment,machinery and equipment,0.3
487,1996-Q1,manufacturing,electrical products,electrical products,0.2
488,1996-Q1,manufacturing,electronic products,electronic products,-0.3
489,1996-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.1
490,1996-Q1,manufacturing,transport equipment,transport equipment,0.9
491,1996-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.3
492,1996-Q1,construction,construction,construction,12
493,1996-Q1,services,wholesale and retail trade,wholesale trade,-0.2
494,1996-Q1,services,wholesale and retail trade,retail trade,-0.3
495,1996-Q1,services,"transport, storage and communications","transport, storage and communications",0.4
496,1996-Q1,services,financial services,financial institutions,1
497,1996-Q1,services,financial services,insurance,0.1
498,1996-Q1,services,business and real estate services,business and real estate services,2.2
499,1996-Q1,services,"community, social and personal services",public administration and education,-
500,1996-Q1,services,"community, social and personal services",public administration,n.a.
501,1996-Q1,services,"community, social and personal services",education,n.a.
502,1996-Q1,services,"community, social and personal services",health and social work,0.4
503,1996-Q1,services,"community, social and personal services","other community, social and personal services",2.2
504,1996-Q1,others,others,others,1.2
505,1996-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2
506,1996-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.7
507,1996-Q2,manufacturing,paper products and publishing,paper products and publishing,-0.1
508,1996-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1
509,1996-Q2,manufacturing,fabricated metal products,fabricated metal products,-0.2
510,1996-Q2,manufacturing,machinery and equipment,machinery and equipment,0.4
511,1996-Q2,manufacturing,electrical products,electrical products,-0.4
512,1996-Q2,manufacturing,electronic products,electronic products,-2.3
513,1996-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.1
514,1996-Q2,manufacturing,transport equipment,transport equipment,-0.7
515,1996-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.3
516,1996-Q2,construction,construction,construction,12.5
517,1996-Q2,services,wholesale and retail trade,wholesale trade,2.5
518,1996-Q2,services,wholesale and retail trade,retail trade,-1.4
519,1996-Q2,services,"transport, storage and communications","transport, storage and communications",1.9
520,1996-Q2,services,financial services,financial institutions,1.2
521,1996-Q2,services,financial services,insurance,0.2
522,1996-Q2,services,business and real estate services,business and real estate services,6.5
523,1996-Q2,services,"community, social and personal services",public administration and education,1.9
524,1996-Q2,services,"community, social and personal services",public administration,n.a.
525,1996-Q2,services,"community, social and personal services",education,n.a.
526,1996-Q2,services,"community, social and personal services",health and social work,1.2
527,1996-Q2,services,"community, social and personal services","other community, social and personal services",2.1
528,1996-Q2,others,others,others,-0.8
529,1996-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
530,1996-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.9
531,1996-Q3,manufacturing,paper products and publishing,paper products and publishing,-0.3
532,1996-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",-
533,1996-Q3,manufacturing,fabricated metal products,fabricated metal products,-
534,1996-Q3,manufacturing,machinery and equipment,machinery and equipment,-0.3
535,1996-Q3,manufacturing,electrical products,electrical products,-0.4
536,1996-Q3,manufacturing,electronic products,electronic products,-1.4
537,1996-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.5
538,1996-Q3,manufacturing,transport equipment,transport equipment,-0.3
539,1996-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.7
540,1996-Q3,construction,construction,construction,12.6
541,1996-Q3,services,wholesale and retail trade,wholesale trade,1.9
542,1996-Q3,services,wholesale and retail trade,retail trade,-1
543,1996-Q3,services,"transport, storage and communications","transport, storage and communications",1.8
544,1996-Q3,services,financial services,financial institutions,0.8
545,1996-Q3,services,financial services,insurance,0.1
546,1996-Q3,services,business and real estate services,business and real estate services,1.7
547,1996-Q3,services,"community, social and personal services",public administration and education,1.6
